순위,행정동,노드ID,총점,도로점수,교차로점수,대로변일치점수,고령자점수,쉼터점수,경도,위도
1,연희동,58699,11.0,3.0,3.0,2.0,2.0,1.0,126.93421765661076,37.57119219497292
2,연희동,84166,11.0,3.0,3.0,2.0,2.0,1.0,126.93440752861558,37.57106872013281
3,북가좌2동,149637,11.0,3.0,3.0,2.0,2.0,1.0,126.912450177377,37.58108920131634
4,북가좌2동,149642,11.0,3.0,3.0,2.0,2.0,1.0,126.91208954776046,37.58062067801477
5,북가좌2동,149603,11.0,3.0,3.0,2.0,2.0,1.0,126.91186222949295,37.5807271409023
6,북가좌2동,151604,11.0,3.0,3.0,2.0,2.0,1.0,126.91218793789538,37.581167821773
7,연희동,184550,11.0,3.0,3.0,2.0,2.0,1.0,126.92713857935668,37.57446749704267
8,연희동,184927,11.0,3.0,3.0,2.0,2.0,1.0,126.92734089734329,37.57452350149569
9,연희동,184779,11.0,3.0,3.0,2.0,2.0,1.0,126.9291075452636,37.57210693637775
10,연희동,184780,11.0,3.0,3.0,2.0,2.0,1.0,126.92931447612163,37.57219860154283
11,홍은2동,40863,10.0,3.0,3.0,2.0,2.0,0.0,126.92669849828411,37.581395725928864
12,홍은2동,40875,10.0,3.0,3.0,2.0,2.0,0.0,126.92720198438042,37.58138638970794
13,홍은2동,40955,10.0,3.0,3.0,2.0,2.0,0.0,126.92692614528367,37.581653213673206
14,홍은2동,58549,10.0,3.0,3.0,2.0,2.0,0.0,126.93396825061947,37.58012646035528
15,홍은2동,58519,10.0,3.0,3.0,2.0,2.0,0.0,126.93380708610299,37.58027741267843
16,연희동,58696,10.0,3.0,3.0,2.0,2.0,0.0,126.93540638323742,37.573055712476574
17,연희동,58779,10.0,3.0,3.0,2.0,2.0,0.0,126.93139299974989,37.56936891908332
18,연희동,58780,10.0,3.0,3.0,2.0,2.0,0.0,126.93158840854127,37.56947888183203
19,홍은2동,80844,10.0,3.0,3.0,2.0,2.0,0.0,126.92702235258034,37.581290923647366
20,연희동,79661,10.0,3.0,3.0,2.0,2.0,0.0,126.93094942806275,37.5702360125928
21,북가좌2동,84513,10.0,3.0,3.0,2.0,2.0,0.0,126.90614793233352,37.58034256838351
22,홍은2동,84526,10.0,3.0,3.0,2.0,2.0,0.0,126.92326277640394,37.58502833841818
23,홍은2동,84527,10.0,3.0,3.0,2.0,2.0,0.0,126.92346436659,37.58515815702829
24,연희동,79660,10.0,3.0,3.0,2.0,2.0,0.0,126.9307539970489,37.570148934065934
25,연희동,84156,10.0,3.0,3.0,2.0,2.0,0.0,126.92147722919636,37.571921551897866
26,연희동,107220,10.0,3.0,3.0,2.0,2.0,0.0,126.93557897483682,37.572968842765704
27,홍은2동,104301,10.0,3.0,3.0,2.0,2.0,0.0,126.9266073187928,37.581493748952695
28,연희동,104175,10.0,3.0,3.0,2.0,2.0,0.0,126.92901478216007,37.56406667748724
29,남가좌2동,104179,10.0,3.0,3.0,2.0,2.0,0.0,126.9264387497964,37.575770487748024
30,남가좌2동,104184,10.0,3.0,3.0,2.0,2.0,0.0,126.92607983925556,37.57595121342528
31,남가좌2동,104185,10.0,3.0,3.0,2.0,2.0,0.0,126.92597484810727,37.57588236212543
32,남가좌2동,104186,10.0,3.0,3.0,2.0,2.0,0.0,126.92594419316232,37.575761024434634
33,남가좌2동,104187,10.0,3.0,3.0,2.0,2.0,0.0,126.9260651583022,37.57555970999766
34,남가좌2동,104188,10.0,3.0,3.0,2.0,2.0,0.0,126.92621428483827,37.57595800676178
35,북가좌2동,140111,10.0,3.0,3.0,2.0,2.0,0.0,126.910375160053,37.58436965025995
36,북가좌2동,150026,10.0,3.0,3.0,2.0,2.0,0.0,126.9105277696023,37.58450564702849
37,북가좌2동,150033,10.0,3.0,3.0,2.0,2.0,0.0,126.90677406192897,37.57993761584951
38,북가좌2동,149862,10.0,3.0,3.0,2.0,2.0,0.0,126.91533987106592,37.58086877197107
39,북가좌2동,149902,10.0,3.0,3.0,2.0,2.0,0.0,126.91451186974334,37.581554331464034
40,북가좌2동,149907,10.0,3.0,3.0,2.0,2.0,0.0,126.91438965054078,37.581452246698305
41,북가좌2동,149930,10.0,3.0,3.0,2.0,2.0,0.0,126.91521184216052,37.58075277530464
42,연희동,153987,10.0,3.0,3.0,2.0,2.0,0.0,126.92121947036203,37.57209778746247
43,연희동,153988,10.0,3.0,3.0,2.0,2.0,0.0,126.92156064514577,37.57234593839607
