관리번호,설치장소명,경도,위도
천연동-1,독립문 광장 앞 횡단보도,126.9597216,37.5723112
천연동-2,독립문문화공원 입구,126.9606096,37.5716321
북아현동-1,302동 앞 삼거리,126.9564443,37.5591247
북아현동-2,앞  횡단보도,126.9521645,37.5573721
북아현동-3,402동 앞 북아현로입구 버스정거장,126.955964,37.5578402
북아현동-4,대한예수교장로회 영광교회,120.0,35.0
북아현동-5,경사형 엘리베이터 시작점(아래),126.949009,37.5571959
북아현동-6,101동 앞 삼거리,126.9501539,37.558266
북아현-BN0001,아이디헤어 (또는 인라인스케이트),126.9518146,37.557332
북아현-BN0002,파리바게트 옆,126.9563663,37.5590543
충현동-1,서대문역 5호선 신라스테이 앞 교통섬,126.9670501,37.5661632
충현동-2,충정로5호선역사,126.9626152,37.5602032
충현동-3,충정로2호선역사,126.9636086,37.5594786
충현동-4,충정로역 10번출구 교통섬,120.0,30.0
충현동-5,명수어린이공원 맞은편 보도,126.9522784,37.5621097
충현동-6,이화여대 ROTC관 주변 보도,126.9478074,37.563174
충현-BN002,이마트24편의점 맞은편,126.9535822,37.5641465
충현-BN0001,충정로역 10번출구 ,126.9625086,37.5593434
신촌동-1,연세대학교 정문 좌측 횡단보도,126.936848,37.5603037
신촌동-2,연세대학교 정문 우측 앞 횡단보도,126.9371938,37.5602552
신촌동-3,연대앞  건너편 좌측,126.9371329,37.5598183
신촌동-4,연대앞  건너편 우측 횡단보도,126.9366726,37.5598255
신촌동-5,신촌 메가박스 앞 횡단보도,126.9421108,37.5597109
신촌동-6,앞  횡단보도,126.9345323,37.5561503
신촌동-7,세브란스 병원 앞  횡단보도,126.9391741,37.5602871
신촌동-8,신촌장로교회 앞 횡단보도,126.931314,37.557181
신촌동-9,연대앞 정문 암병원 입구,126.9381702,37.560245
신촌동-10,마스터빌딩,126.9270444,37.558999
연희동-1,하나은행 건너편 횡단보도,126.9310877,37.5668583
연희동-2,우리은행 연희동 지점,126.9322834,37.5687759
연희동-3,,126.9181507,37.5678457
