순위,행정동,노드ID,총점,도로점수,교차로점수,대로변일치점수,고령자점수,쉼터점수,경도,위도
1,연희동,58699,11,3,3,2,2,1,126.9342177,37.57119219
2,연희동,84166,11,3,3,2,2,1,126.9344075,37.57106872
3,북가좌2동,149637,11,3,3,2,2,1,126.9124502,37.5810892
4,북가좌2동,149642,11,3,3,2,2,1,126.9120895,37.58062068
5,북가좌2동,149603,11,3,3,2,2,1,126.9118622,37.58072714
6,북가좌2동,151604,11,3,3,2,2,1,126.9121879,37.58116782
7,연희동,184550,11,3,3,2,2,1,126.9271386,37.5744675
8,연희동,184927,11,3,3,2,2,1,126.9273409,37.5745235
9,연희동,184779,11,3,3,2,2,1,126.9291075,37.57210694
10,연희동,184780,11,3,3,2,2,1,126.9293145,37.5721986
11,홍은2동,40863,10,3,3,2,2,0,126.9266985,37.58139573
12,홍은2동,40875,10,3,3,2,2,0,126.927202,37.58138639
13,홍은2동,40955,10,3,3,2,2,0,126.9269261,37.58165321
14,홍은2동,58549,10,3,3,2,2,0,126.9339683,37.58012646
15,홍은2동,58519,10,3,3,2,2,0,126.9338071,37.58027741
16,연희동,58696,10,3,3,2,2,0,126.9354064,37.57305571
17,연희동,58779,10,3,3,2,2,0,126.931393,37.56936892
18,연희동,58780,10,3,3,2,2,0,126.9315884,37.56947888
19,홍은2동,80844,10,3,3,2,2,0,126.9270224,37.58129092
20,연희동,79661,10,3,3,2,2,0,126.9309494,37.57023601
21,북가좌2동,84513,10,3,3,2,2,0,126.9061479,37.58034257
22,홍은2동,84526,10,3,3,2,2,0,126.9232628,37.58502834
23,홍은2동,84527,10,3,3,2,2,0,126.9234644,37.58515816
24,연희동,79660,10,3,3,2,2,0,126.930754,37.57014893
25,연희동,84156,10,3,3,2,2,0,126.9214772,37.57192155
26,연희동,107220,10,3,3,2,2,0,126.935579,37.57296884
27,홍은2동,104301,10,3,3,2,2,0,126.9266073,37.58149375
28,연희동,104175,10,3,3,2,2,0,126.9290148,37.56406668
29,남가좌2동,104179,10,3,3,2,2,0,126.9264387,37.57577049
30,남가좌2동,104184,10,3,3,2,2,0,126.9260798,37.57595121
31,남가좌2동,104185,10,3,3,2,2,0,126.9259748,37.57588236
32,남가좌2동,104186,10,3,3,2,2,0,126.9259442,37.57576102
33,남가좌2동,104187,10,3,3,2,2,0,126.9260652,37.57555971
34,남가좌2동,104188,10,3,3,2,2,0,126.9262143,37.57595801
35,북가좌2동,140111,10,3,3,2,2,0,126.9103752,37.58436965
36,북가좌2동,150026,10,3,3,2,2,0,126.9105278,37.58450565
37,북가좌2동,150033,10,3,3,2,2,0,126.9067741,37.57993762
38,북가좌2동,149862,10,3,3,2,2,0,126.9153399,37.58086877
39,북가좌2동,149902,10,3,3,2,2,0,126.9145119,37.58155433
40,북가좌2동,149907,10,3,3,2,2,0,126.9143897,37.58145225
41,북가좌2동,149930,10,3,3,2,2,0,126.9152118,37.58075278
42,연희동,153987,10,3,3,2,2,0,126.9212195,37.57209779
43,연희동,153988,10,3,3,2,2,0,126.9215606,37.57234594
44,연희동,153990,10,3,3,2,2,0,126.9217944,37.57218876
45,북가좌2동,151596,10,3,3,2,2,0,126.9111534,37.58404149
46,북가좌2동,151597,10,3,3,2,2,0,126.911037,37.58394404
47,연희동,184000,10,3,3,2,2,0,126.9314181,37.57753909
48,연희동,184783,10,3,3,2,2,0,126.9297984,37.57129263
49,연희동,183874,10,3,3,2,2,0,126.9316333,37.5776599
50,연희동,184820,10,3,3,2,2,0,126.9299823,37.57138428
51,홍은2동,215485,10,3,3,2,2,0,126.9266831,37.58163226
52,연희동,215487,10,3,3,2,2,0,126.9290367,37.56392754
53,신촌동,82528,9,3,3,2,1,0,126.9426231,37.55674442
54,신촌동,111843,9,3,3,2,1,0,126.942738,37.55688179
55,신촌동,111868,9,3,3,2,1,0,126.9430197,37.55689108
56,홍은2동,81983,9,3,2,2,2,0,126.9360643,37.58041597
57,홍은2동,81989,9,3,2,2,2,0,126.9363001,37.58044356
58,연희동,81996,9,3,2,2,2,0,126.9359906,37.57909316
59,연희동,84013,9,3,2,2,2,0,126.9324868,37.57743493
60,홍은2동,84076,9,3,2,2,2,0,126.9356751,37.58821504
61,홍은2동,84077,9,3,2,2,2,0,126.9358305,37.58809155
62,연희동,102097,9,3,2,2,2,0,126.9362092,37.57906582
63,연희동,183901,9,3,2,2,2,0,126.9323889,37.57724277
64,천연동,72128,8,3,3,2,0,0,126.9616126,37.56874402
65,천연동,72130,8,3,3,2,0,0,126.9618772,37.56857476
66,천연동,72136,8,3,3,2,0,0,126.9617277,37.56852436
67,천연동,72144,8,3,3,2,0,0,126.9617506,37.56876695
68,북가좌1동,150032,8,3,3,2,0,0,126.9066554,37.57983299
69,북가좌1동,149534,8,3,3,2,0,0,126.9060025,37.58021264
70,신촌동,56273,8,3,2,2,1,0,126.9469349,37.55699818
71,신촌동,56275,8,3,2,2,1,0,126.9469559,37.55687262
72,북아현동,71640,8,3,2,2,1,0,126.9550721,37.5575274
73,남가좌1동,80402,8,3,2,2,1,0,126.9183644,37.57004571
74,남가좌1동,80403,8,3,2,2,1,0,126.9184782,37.5701173
75,신촌동,99348,8,3,2,2,1,0,126.9450381,37.55689853
76,신촌동,141226,8,3,2,2,1,0,126.9361539,37.55553904
77,홍은2동,40882,8,3,0,2,2,1,126.9281317,37.58015688
78,홍은2동,40942,8,3,0,2,2,1,126.9283233,37.58027142
79,홍제1동,81941,8,3,0,2,2,1,126.9373936,37.58286998
80,연희동,81942,8,3,0,2,2,1,126.9375088,37.58272357
81,충현동,77988,7,3,2,2,0,0,126.965984,37.5662051
82,충현동,84482,7,3,2,2,0,0,126.966033,37.56627771
83,연희동,20295,7,3,0,2,2,0,126.9255925,37.56623055
84,남가좌2동,19685,7,3,0,2,2,0,126.9252706,37.57651581
85,연희동,22110,7,3,0,2,2,0,126.9255189,37.56652878
86,남가좌2동,19614,7,3,0,2,2,0,126.9241113,37.57734223
87,남가좌2동,19627,7,3,0,2,2,0,126.9240588,37.57724227
88,홍은2동,56954,7,3,0,2,2,0,126.9350208,37.58658983
89,홍은2동,56956,7,3,0,2,2,0,126.9347965,37.58662633
90,연희동,54832,7,3,0,2,2,0,126.927349,37.56503889
91,연희동,55147,7,3,0,2,2,0,126.9306629,37.56300867
92,연희동,55148,7,3,0,2,2,0,126.9309904,37.56321025
93,연희동,61813,7,3,0,2,2,0,126.9315951,37.56215101
94,홍은2동,81421,7,3,0,2,2,0,126.9350658,37.58121183
95,홍은2동,81422,7,3,0,2,2,0,126.935273,37.58103802
96,남가좌2동,80579,7,3,0,2,2,0,126.922929,37.57753957
97,홍제3동,25163,7,3,0,2,1,1,126.9566235,37.59684073
98,신촌동,56280,7,3,0,2,1,1,126.9432402,37.56263227
99,신촌동,56281,7,3,0,2,1,1,126.9434916,37.5628498
100,신촌동,56282,7,3,0,2,1,1,126.9437932,37.56319894
